Job,Skills,Education,Experience
Data Analyst,"Python,SQL,Excel,Power BI","B.Tech, B.Sc, BCA",0-2
Python Developer,"Python,Django,SQL,Git","B.Tech, BCA, MCA",0-2
Data Scientist,"Python,Machine Learning,SQL,Statistics","B.Tech, B.Sc, MCA, M.Tech",1-3
Machine Learning Engineer,"Python,Machine Learning,Deep Learning,TensorFlow","B.Tech, M.Tech, MCA",1-3
Web Developer,"HTML,CSS,JavaScript,Python","B.Tech, BCA, MCA",0-2
Software Developer,"Python,Java,SQL,Git","B.Tech, BCA, MCA",0-3
Business Analyst,"Excel,SQL,Power BI,Communication","B.Tech, BBA, MBA",1-3
AI Engineer,"Python,Machine Learning,Deep Learning,NLP","B.Tech, M.Tech, MCA",1-3
SQL Developer,"SQL,MySQL,Database,Python","B.Tech, BCA, MCA",0-2
Data Engineer,"Python,SQL,ETL,AWS","B.Tech, M.Tech, MCA",1-4
